"id","type","parent","permlink","name","ytcount"
"Category:Agus, Joseph","1","","http://imslp.org/wiki/Category:Agus,_Joseph","Agus, Joseph",18066
"Category:Ahlert, Fred","1","","http://imslp.org/wiki/Category:Ahlert,_Fred","Ahlert, Fred",5551
"Category:Aguilar, Emanuel","1","","http://imslp.org/wiki/Category:Aguilar,_Emanuel","Aguilar, Emanuel",25098
"Category:Ahlström, Jacob Niclas","1","","http://imslp.org/wiki/Category:Ahlström,_Jacob_Niclas","Ahlström, Jacob Niclas",101
"Category:Aignan, Étienne","1","","http://imslp.org/wiki/Category:Aignan,_Étienne","Aignan, Étienne",6079
"Category:Aicard, Jean","1","","http://imslp.org/wiki/Category:Aicard,_Jean","Aicard, Jean",572
"Category:Aikin, William Arthur","1","","http://imslp.org/wiki/Category:Aikin,_William_Arthur","Aikin, William Arthur",362
"Category:Aiblinger, Johann Kaspar","1","","http://imslp.org/wiki/Category:Aiblinger,_Johann_Kaspar","Aiblinger, Johann Kaspar",72
"Category:Aiguino, Illuminato","1","","http://imslp.org/wiki/Category:Aiguino,_Illuminato","Aiguino, Illuminato",12
"Category:Alary, Georges","1","","http://imslp.org/wiki/Category:Alary,_Georges","Alary, Georges",1016
"Category:Alard, Charles","1","","http://imslp.org/wiki/Category:Alard,_Charles","Alard, Charles",13091
"Category:Albery, Dorothy","1","","http://imslp.org/wiki/Category:Albery,_Dorothy","Albery, Dorothy",5
"Category:Albert, Prince Consort","1","","http://imslp.org/wiki/Category:Albert,_Prince_Consort","Albert, Prince Consort",12067
"Category:Albergoni, Leonardo Mantovani","1","","http://imslp.org/wiki/Category:Albergoni,_Leonardo_Mantovani","Albergoni, Leonardo Mantovani",0
"Category:Albrecht, Johann Lorenz","1","","http://imslp.org/wiki/Category:Albrecht,_Johann_Lorenz","Albrecht, Johann Lorenz",99
"Category:Alcock, Gilbert A.","1","","http://imslp.org/wiki/Category:Alcock,_Gilbert_A.","Alcock, Gilbert A.",481
"Category:Aldrich, Anne Reeve","1","","http://imslp.org/wiki/Category:Aldrich,_Anne_Reeve","Aldrich, Anne Reeve",25
"Category:Aledo, M.","1","","http://imslp.org/wiki/Category:Aledo,_M.","Aledo, M.",16102
"Category:Aleotti, Vittoria","1","","http://imslp.org/wiki/Category:Aleotti,_Vittoria","Aleotti, Vittoria",310
"Category:Alenev, Yevgeny","1","","http://imslp.org/wiki/Category:Alenev,_Yevgeny","Alenev, Yevgeny",0
"Category:Alejandre Prada, Manuel","1","","http://imslp.org/wiki/Category:Alejandre_Prada,_Manuel","Alejandre Prada, Manuel",233
"Category:Alencar, Fabio Ribeiro de","1","","http://imslp.org/wiki/Category:Alencar,_Fabio_Ribeiro_de","Alencar, Fabio Ribeiro de",6565
"Category:Alexander, Joseph","1","","http://imslp.org/wiki/Category:Alexander,_Joseph","Alexander, Joseph",1000000
"Category:Alessandro, Raffaele d'","1","","http://imslp.org/wiki/Category:Alessandro,_Raffaele_d'","Alessandro, Raffaele d'",21593
"Category:Aleshina, Zhanna","1","","http://imslp.org/wiki/Category:Aleshina,_Zhanna","Aleshina, Zhanna",3
"Category:Alessandrini, Rodolfo","1","","http://imslp.org/wiki/Category:Alessandrini,_Rodolfo","Alessandrini, Rodolfo",317
"Category:Alexander, Alfred","1","","http://imslp.org/wiki/Category:Alexander,_Alfred","Alexander, Alfred",552212
"Category:Alessandri, Felice","1","","http://imslp.org/wiki/Category:Alessandri,_Felice","Alessandri, Felice",516
"Category:Alexander, M. P.","1","","http://imslp.org/wiki/Category:Alexander,_M._P.","Alexander, M. P.",1000000
"Category:Aletter, Wilhelm","1","","http://imslp.org/wiki/Category:Aletter,_Wilhelm","Aletter, Wilhelm",1596
"Category:Alexander, Cecil Frances","1","","http://imslp.org/wiki/Category:Alexander,_Cecil_Frances","Alexander, Cecil Frances",1538
"Category:Alexandre, André","1","","http://imslp.org/wiki/Category:Alexandre,_André","Alexandre, André",556247
"Category:Alexandre, Edouard","1","","http://imslp.org/wiki/Category:Alexandre,_Edouard","Alexandre, Edouard",61175
"Category:Alexandra, Liana","1","","http://imslp.org/wiki/Category:Alexandra,_Liana","Alexandra, Liana",56133
"Category:Alexander, Lionel A.","1","","http://imslp.org/wiki/Category:Alexander,_Lionel_A.","Alexander, Lionel A.",246900
"Category:Alexis, Willibald","1","","http://imslp.org/wiki/Category:Alexis,_Willibald","Alexis, Willibald",280
"Category:Alexanian, Diran","1","","http://imslp.org/wiki/Category:Alexanian,_Diran","Alexanian, Diran",72
"Category:Alexis, Sr., Gerhard Theodore","1","","http://imslp.org/wiki/Category:Alexis,_Sr.,_Gerhard_Theodore","Alexis, Sr., Gerhard Theodore",0
"Category:Alföldy, Imre","1","","http://imslp.org/wiki/Category:Alföldy,_Imre","Alföldy, Imre",5776
"Category:Alfano, Vincenzo","1","","http://imslp.org/wiki/Category:Alfano,_Vincenzo","Alfano, Vincenzo",37444
"Category:Alfonsi, Tommaso","1","","http://imslp.org/wiki/Category:Alfonsi,_Tommaso","Alfonsi, Tommaso",189
"Category:Alfano, Franco","1","","http://imslp.org/wiki/Category:Alfano,_Franco","Alfano, Franco",74596
"Category:Alfieri, Pietro","1","","http://imslp.org/wiki/Category:Alfieri,_Pietro","Alfieri, Pietro",13187
"Category:Allegri, Lorenzo","1","","http://imslp.org/wiki/Category:Allegri,_Lorenzo","Allegri, Lorenzo",25178
"Category:Allegri, Gregorio","1","","http://imslp.org/wiki/Category:Allegri,_Gregorio","Allegri, Gregorio",97465
"Category:Allegrini, Giovanni","1","","http://imslp.org/wiki/Category:Allegrini,_Giovanni","Allegrini, Giovanni",3244
"Category:Allen, Benjamin Dwight","1","","http://imslp.org/wiki/Category:Allen,_Benjamin_Dwight","Allen, Benjamin Dwight",2349
"Category:Allen, Francis D.","1","","http://imslp.org/wiki/Category:Allen,_Francis_D.","Allen, Francis D.",120418
"Category:Allen, Henry A.","1","","http://imslp.org/wiki/Category:Allen,_Henry_A.","Allen, Henry A.",1000000
"Category:Allen, Charles N.","1","","http://imslp.org/wiki/Category:Allen,_Charles_N.","Allen, Charles N.",204907
"Category:Allen, George Benjamin","1","","http://imslp.org/wiki/Category:Allen,_George_Benjamin","Allen, George Benjamin",61144
"Category:Allen, George Nelson","1","","http://imslp.org/wiki/Category:Allen,_George_Nelson","Allen, George Nelson",120942
"Category:Allen, Edward","1","","http://imslp.org/wiki/Category:Allen,_Edward","Allen, Edward",1000000
"Category:Allen, Paul Hastings","1","","http://imslp.org/wiki/Category:Allen,_Paul_Hastings","Allen, Paul Hastings",12028
"Category:Allen, Chester G.","1","","http://imslp.org/wiki/Category:Allen,_Chester_G.","Allen, Chester G.",23356
"Category:Allen, Nathan Hale","1","","http://imslp.org/wiki/Category:Allen,_Nathan_Hale","Allen, Nathan Hale",5114
"Category:Allen, Sammuel","1","","http://imslp.org/wiki/Category:Allen,_Sammuel","Allen, Sammuel",69
"Category:Allman, G.","1","","http://imslp.org/wiki/Category:Allman,_G.","Allman, G.",182915
"Category:Allen, Euphemia","1","","http://imslp.org/wiki/Category:Allen,_Euphemia","Allen, Euphemia",3555
"Category:Allihn, Max","1","","http://imslp.org/wiki/Category:Allihn,_Max","Allihn, Max",2
"Category:Allevi, Giuseppe","1","","http://imslp.org/wiki/Category:Allevi,_Giuseppe","Allevi, Giuseppe",20201
"Category:Allison, Richard","1","","http://imslp.org/wiki/Category:Allison,_Richard","Allison, Richard",837884
"Category:Allitsen, Frances","1","","http://imslp.org/wiki/Category:Allitsen,_Frances","Allitsen, Frances",243
"Category:Allmers, Hermann","1","","http://imslp.org/wiki/Category:Allmers,_Hermann","Allmers, Hermann",79
"Category:Allende, Pedro Humberto","1","","http://imslp.org/wiki/Category:Allende,_Pedro_Humberto","Allende, Pedro Humberto",3689
"Category:Allin, Albert D.","1","","http://imslp.org/wiki/Category:Allin,_Albert_D.","Allin, Albert D.",17370
"Category:Allendorf, Johann Ludwig Konrad","1","","http://imslp.org/wiki/Category:Allendorf,_Johann_Ludwig_Konrad","Allendorf, Johann Ludwig Konrad",10
"Category:Almeida, Francisco António de","1","","http://imslp.org/wiki/Category:Almeida,_Francisco_António_de","Almeida, Francisco António de",44162
"Category:Alma-Tadema, Laurence","1","","http://imslp.org/wiki/Category:Alma-Tadema,_Laurence","Alma-Tadema, Laurence",3843
"Category:Almeder, Hugo","1","","http://imslp.org/wiki/Category:Almeder,_Hugo","Almeder, Hugo",0
"Category:Allsopp, Stephen","1","","http://imslp.org/wiki/Category:Allsopp,_Stephen","Allsopp, Stephen",2033
"Category:Almada, Nicolas Alfredo","1","","http://imslp.org/wiki/Category:Almada,_Nicolas_Alfredo","Almada, Nicolas Alfredo",168
"Category:Almorox, Juan Alvárez de","1","","http://imslp.org/wiki/Category:Almorox,_Juan_Alvárez_de","Almorox, Juan Alvárez de",19
"Category:Allroggen, Gerhard","1","","http://imslp.org/wiki/Category:Allroggen,_Gerhard","Allroggen, Gerhard",1
"Category:Alonso, Luis","1","","http://imslp.org/wiki/Category:Alonso,_Luis","Alonso, Luis",857856
"Category:Almeida, Guilherme de","1","","http://imslp.org/wiki/Category:Almeida,_Guilherme_de","Almeida, Guilherme de",70656
"Category:Anderton, Howard Orsmond","1","","http://imslp.org/wiki/Category:Anderton,_Howard_Orsmond","Anderton, Howard Orsmond",1
"Category:Andrade, Mário de","1","","http://imslp.org/wiki/Category:Andrade,_Mário_de","Andrade, Mário de",34934
"Category:Andrès, Henry George","1","","http://imslp.org/wiki/Category:Andrès,_Henry_George","Andrès, Henry George",66525
"Category:Andrès, Camille","1","","http://imslp.org/wiki/Category:Andrès,_Camille","Andrès, Camille",114235
"Category:André Jr., Anton","1","","http://imslp.org/wiki/Category:André_Jr.,_Anton","André Jr., Anton",9789
"Category:Anderton, Thomas","1","","http://imslp.org/wiki/Category:Anderton,_Thomas","Anderton, Thomas",9964
"Category:André, Jean Baptiste","1","","http://imslp.org/wiki/Category:André,_Jean_Baptiste","André, Jean Baptiste",166181
"Category:André, Jean-Baptiste","1","","http://imslp.org/wiki/Category:André,_Jean-Baptiste","André, Jean-Baptiste",164602
"Category:Andrée, Elfrida","1","","http://imslp.org/wiki/Category:Andrée,_Elfrida","Andrée, Elfrida",1652
"Category:André, Émile","1","","http://imslp.org/wiki/Category:André,_Émile","André, Émile",156445
"Category:André, Frère (pater, father)","1","","http://imslp.org/wiki/Category:André,_Frère_(pater,_father)","André, Frère (pater, father)",44
"Category:André, José","1","","http://imslp.org/wiki/Category:André,_José","André, José",1000000
"Category:André, Johann","1","","http://imslp.org/wiki/Category:André,_Johann","André, Johann",885745
"Category:André, Johann Anton","1","","http://imslp.org/wiki/Category:André,_Johann_Anton","André, Johann Anton",27676
"Category:André, Julius","1","","http://imslp.org/wiki/Category:André,_Julius","André, Julius",227515
"Category:Andreae, Volkmar","1","","http://imslp.org/wiki/Category:Andreae,_Volkmar","Andreae, Volkmar",1041
"Category:André, William","1","","http://imslp.org/wiki/Category:André,_William","André, William",1000000
"Category:André, Jr., Anton","1","","http://imslp.org/wiki/Category:André,_Jr.,_Anton","André, Jr., Anton",14405
"Category:André, Ludwig","1","","http://imslp.org/wiki/Category:André,_Ludwig","André, Ludwig",199316
"Category:Andreas de Florentia","1","","http://imslp.org/wiki/Category:Andreas_de_Florentia","Andreas de Florentia",403
"Category:Andreasyan, Artem","1","","http://imslp.org/wiki/Category:Andreasyan,_Artem","Andreasyan, Artem",234
"Category:Andreatini, Francesco","1","","http://imslp.org/wiki/Category:Andreatini,_Francesco","Andreatini, Francesco",135
"Category:Andreas, Magister Phillipotus","1","","http://imslp.org/wiki/Category:Andreas,_Magister_Phillipotus","Andreas, Magister Phillipotus",0
"Category:Andreassi, Giuseppe","1","","http://imslp.org/wiki/Category:Andreassi,_Giuseppe","Andreassi, Giuseppe",216
"Category:Andreola, Giacomo","1","","http://imslp.org/wiki/Category:Andreola,_Giacomo","Andreola, Giacomo",25
"Category:Andreas, S. M.","1","","http://imslp.org/wiki/Category:Andreas,_S._M.","Andreas, S. M.",181341
"Category:Andrews, John C.","1","","http://imslp.org/wiki/Category:Andrews,_John_C.","Andrews, John C.",123187
"Category:Andrews, F. H.","1","","http://imslp.org/wiki/Category:Andrews,_F._H.","Andrews, F. H.",2278
"Category:Andreozzi, Gaetano","1","","http://imslp.org/wiki/Category:Andreozzi,_Gaetano","Andreozzi, Gaetano",794
"Category:Andrews, Mark","1","","http://imslp.org/wiki/Category:Andrews,_Mark","Andrews, Mark",1000000
"Category:Andrews, Geo. H.","1","","http://imslp.org/wiki/Category:Andrews,_Geo._H.","Andrews, Geo. H.",250
"Category:Andreotti, Paolo","1","","http://imslp.org/wiki/Category:Andreotti,_Paolo","Andreotti, Paolo",33228
"Category:Andreu, P. A.","1","","http://imslp.org/wiki/Category:Andreu,_P._A.","Andreu, P. A.",31732
"Category:Andreyevsky, Sergey","1","","http://imslp.org/wiki/Category:Andreyevsky,_Sergey","Andreyevsky, Sergey",23
"Category:Andrew, Paul Duncan","1","","http://imslp.org/wiki/Category:Andrew,_Paul_Duncan","Andrew, Paul Duncan",146773
"Category:Andrews, Addison Fletcher","1","","http://imslp.org/wiki/Category:Andrews,_Addison_Fletcher","Andrews, Addison Fletcher",32
"Category:Andrieu, Martial","1","","http://imslp.org/wiki/Category:Andrieu,_Martial","Andrieu, Martial",845
"Category:Andriessen, Hendrik","1","","http://imslp.org/wiki/Category:Andriessen,_Hendrik","Andriessen, Hendrik",25247
"Category:Andvord, Rolf","1","","http://imslp.org/wiki/Category:Andvord,_Rolf","Andvord, Rolf",8
"Category:Andrzejowski, Adam","1","","http://imslp.org/wiki/Category:Andrzejowski,_Adam","Andrzejowski, Adam",147
"Category:Anerio, Felice","1","","http://imslp.org/wiki/Category:Anerio,_Felice","Anerio, Felice",2916
"Category:Androux dit Fabrice, Giovanni Giacomo","1","","http://imslp.org/wiki/Category:Androux_dit_Fabrice,_Giovanni_Giacomo","Androux dit Fabrice, Giovanni Giacomo",0
"Category:Anelli, Angelo","1","","http://imslp.org/wiki/Category:Anelli,_Angelo","Anelli, Angelo",30305
"Category:Anerio, Giovanni Francesco","1","","http://imslp.org/wiki/Category:Anerio,_Giovanni_Francesco","Anerio, Giovanni Francesco",822
"Category:Anepeta, Luigi","1","","http://imslp.org/wiki/Category:Anepeta,_Luigi","Anepeta, Luigi",100
"Category:Anet, Jean Baptiste","1","","http://imslp.org/wiki/Category:Anet,_Jean_Baptiste","Anet, Jean Baptiste",63
"Category:Angelelli, Carlo","1","","http://imslp.org/wiki/Category:Angelelli,_Carlo","Angelelli, Carlo",264
"Category:Angerer, Edmund","1","","http://imslp.org/wiki/Category:Angerer,_Edmund","Angerer, Edmund",3021
"Category:Anfossi, Pasquale","1","","http://imslp.org/wiki/Category:Anfossi,_Pasquale","Anfossi, Pasquale",2281
"Category:Angelini Bontempi, Giovanni Andrea","1","","http://imslp.org/wiki/Category:Angelini_Bontempi,_Giovanni_Andrea","Angelini Bontempi, Giovanni Andrea",37
"Category:Angeloni, Domenico","1","","http://imslp.org/wiki/Category:Angeloni,_Domenico","Angeloni, Domenico",502
"Category:Angeli, G.","1","","http://imslp.org/wiki/Category:Angeli,_G.","Angeli, G.",172969
"Category:Angellier, Auguste","1","","http://imslp.org/wiki/Category:Angellier,_Auguste","Angellier, Auguste",106
"Category:Anger, Joseph Humfrey","1","","http://imslp.org/wiki/Category:Anger,_Joseph_Humfrey","Anger, Joseph Humfrey",3
"Category:Angiolini, Gasparo","1","","http://imslp.org/wiki/Category:Angiolini,_Gasparo","Angiolini, Gasparo",42
"Category:Angiolelli, Mario","1","","http://imslp.org/wiki/Category:Angiolelli,_Mario","Angiolelli, Mario",16
"Category:Anger, Louis","1","","http://imslp.org/wiki/Category:Anger,_Louis","Anger, Louis",617176
"Category:Anglés, Higinio","1","","http://imslp.org/wiki/Category:Anglés,_Higinio","Anglés, Higinio",48
"Category:Anglebert, Jean-Henri d'","1","","http://imslp.org/wiki/Category:Anglebert,_Jean-Henri_d'","Anglebert, Jean-Henri d'",9920
"Category:Anguera, Mary J.","1","","http://imslp.org/wiki/Category:Anguera,_Mary_J.","Anguera, Mary J.",16
"Category:Anneessens, Karel","1","","http://imslp.org/wiki/Category:Anneessens,_Karel","Anneessens, Karel",11
"Category:Anicet-Bourgeois, Auguste","1","","http://imslp.org/wiki/Category:Anicet-Bourgeois,_Auguste","Anicet-Bourgeois, Auguste",36
"Category:Aniello, Pancrazio","1","","http://imslp.org/wiki/Category:Aniello,_Pancrazio","Aniello, Pancrazio",30
"Category:Animuccia, Paolo","1","","http://imslp.org/wiki/Category:Animuccia,_Paolo","Animuccia, Paolo",82
"Category:Anhalt, Pawel","1","","http://imslp.org/wiki/Category:Anhalt,_Pawel","Anhalt, Pawel",65
"Category:Anglia, Robertus de","1","","http://imslp.org/wiki/Category:Anglia,_Robertus_de","Anglia, Robertus de",49
"Category:Angulo, Fernando","1","","http://imslp.org/wiki/Category:Angulo,_Fernando","Angulo, Fernando",93478
"Category:Annyuk, Nazariy","1","","http://imslp.org/wiki/Category:Annyuk,_Nazariy","Annyuk, Nazariy",45
"Category:Ansalone, Iacinto","1","","http://imslp.org/wiki/Category:Ansalone,_Iacinto","Ansalone, Iacinto",5
"Category:Anrooy, Peter van","1","","http://imslp.org/wiki/Category:Anrooy,_Peter_van","Anrooy, Peter van",396
"Category:Anseaume, Louis","1","","http://imslp.org/wiki/Category:Anseaume,_Louis","Anseaume, Louis",69
"Category:Anne, Théodore","1","","http://imslp.org/wiki/Category:Anne,_Théodore","Anne, Théodore",104332
"Category:Anschütz, Ernst","1","","http://imslp.org/wiki/Category:Anschütz,_Ernst","Anschütz, Ernst",1034
"Category:Anschütz, Jacques-Albert","1","","http://imslp.org/wiki/Category:Anschütz,_Jacques-Albert","Anschütz, Jacques-Albert",3
"Category:Antalffy-Zsiross, Dezső","1","","http://imslp.org/wiki/Category:Antalffy-Zsiross,_Dezső","Antalffy-Zsiross, Dezső",407
"Category:Antelo, Xoán","1","","http://imslp.org/wiki/Category:Antelo,_Xoán","Antelo, Xoán",30
"Category:Anson, Hugo","1","","http://imslp.org/wiki/Category:Anson,_Hugo","Anson, Hugo",2691
"Category:Antegnati, Costanzo","1","","http://imslp.org/wiki/Category:Antegnati,_Costanzo","Antegnati, Costanzo",374
"Category:Anstey, Thomas","1","","http://imslp.org/wiki/Category:Anstey,_Thomas","Anstey, Thomas",4327
"Category:Anonymous","1","","http://imslp.org/wiki/Category:Anonymous","Anonymous",1000000
"Category:Ansorge, Conrad","1","","http://imslp.org/wiki/Category:Ansorge,_Conrad","Ansorge, Conrad",200
"Category:Ansons, Stephane","1","","http://imslp.org/wiki/Category:Ansons,_Stephane","Ansons, Stephane",240
"Category:Antheil, George","1","","http://imslp.org/wiki/Category:Antheil,_George","Antheil, George",8236
"Category:Anthiome, Eugène","1","","http://imslp.org/wiki/Category:Anthiome,_Eugène","Anthiome, Eugène",10
"Category:Antes, John","1","","http://imslp.org/wiki/Category:Antes,_John","Antes, John",810913
"Category:Apolloni, Giovanni Filippo","1","","http://imslp.org/wiki/Category:Apolloni,_Giovanni_Filippo","Apolloni, Giovanni Filippo",139
"Category:Antheunis, Gentil Theodoor","1","","http://imslp.org/wiki/Category:Antheunis,_Gentil_Theodoor","Antheunis, Gentil Theodoor",102
"Category:Appleton, William Henry","1","","http://imslp.org/wiki/Category:Appleton,_William_Henry","Appleton, William Henry",437
"Category:Antiquis, Adam de","1","","http://imslp.org/wiki/Category:Antiquis,_Adam_de","Antiquis, Adam de",57
"Category:Antonacci, Francesco","1","","http://imslp.org/wiki/Category:Antonacci,_Francesco","Antonacci, Francesco",79738
"Category:Araújo, Zoroastro","1","","http://imslp.org/wiki/Category:Araújo,_Zoroastro","Araújo, Zoroastro",147
"Category:Antforqueray","1","","http://imslp.org/wiki/Category:Antforqueray","Antforqueray",0
"Category:Aptommas, Thomas","1","","http://imslp.org/wiki/Category:Aptommas,_Thomas","Aptommas, Thomas",35
"Category:Archi di Roma","1","","http://imslp.org/wiki/Category:Archi_di_Roma","Archi di Roma",48020
"Category:Antico, Andrea","1","","http://imslp.org/wiki/Category:Antico,_Andrea","Antico, Andrea",239198
"Category:Agrati, Alberto","1","","http://imslp.org/wiki/Category:Agrati,_Alberto","Agrati, Alberto",350
"Category:Aganoor Pompilj, Vittoria","1","","http://imslp.org/wiki/Category:Aganoor_Pompilj,_Vittoria","Aganoor Pompilj, Vittoria",39
"Category:Agate, Edward","1","","http://imslp.org/wiki/Category:Agate,_Edward","Agate, Edward",2897
"Category:Afanasyev, Nikolay","1","","http://imslp.org/wiki/Category:Afanasyev,_Nikolay","Afanasyev, Nikolay",455
"Category:Afferni, Ugo","1","","http://imslp.org/wiki/Category:Afferni,_Ugo","Afferni, Ugo",0
"Category:Aerlyn-Crook, Jesse","1","","http://imslp.org/wiki/Category:Aerlyn-Crook,_Jesse","Aerlyn-Crook, Jesse",8
"Category:Adamič, Emil","1","","http://imslp.org/wiki/Category:Adamič,_Emil","Adamič, Emil",1129
"Category:Aeschylus","1","","http://imslp.org/wiki/Category:Aeschylus","Aeschylus",8807
"Category:Adamowski, Joseph","1","","http://imslp.org/wiki/Category:Adamowski,_Joseph","Adamowski, Joseph",24
"Category:Ady, Endre","1","","http://imslp.org/wiki/Category:Ady,_Endre","Ady, Endre",31835
"Category:Adam, Rudolfus","1","","http://imslp.org/wiki/Category:Adam,_Rudolfus","Adam, Rudolfus",47
"Category:Adam, Carl Ferdinand","1","","http://imslp.org/wiki/Category:Adam,_Carl_Ferdinand","Adam, Carl Ferdinand",2982
"Category:Adam, Johann","1","","http://imslp.org/wiki/Category:Adam,_Johann","Adam, Johann",353181
"Category:Adam, Louis","1","","http://imslp.org/wiki/Category:Adam,_Louis","Adam, Louis",1000000
"Category:Adami, Giuseppe","1","","http://imslp.org/wiki/Category:Adami,_Giuseppe","Adami, Giuseppe",6054
"Category:Agar, R. H.","1","","http://imslp.org/wiki/Category:Agar,_R._H.","Agar, R. H.",247638
"Category:Aggházy, Carolus","1","","http://imslp.org/wiki/Category:Aggházy,_Carolus","Aggházy, Carolus",37
"Category:Adams, Abraham","1","","http://imslp.org/wiki/Category:Adams,_Abraham","Adams, Abraham",425954
"Category:Agazzari, Agostino","1","","http://imslp.org/wiki/Category:Agazzari,_Agostino","Agazzari, Agostino",354
"Category:Adams I, Thomas","1","","http://imslp.org/wiki/Category:Adams_I,_Thomas","Adams I, Thomas",1000000
"Category:Adams II, Thomas","1","","http://imslp.org/wiki/Category:Adams_II,_Thomas","Adams II, Thomas",253743
"Category:Adamowski, Timothée","1","","http://imslp.org/wiki/Category:Adamowski,_Timothée","Adamowski, Timothée",3
"Category:Adelene","1","","http://imslp.org/wiki/Category:Adelene","Adelene",6326
"Category:Ademollo, Alessandro","1","","http://imslp.org/wiki/Category:Ademollo,_Alessandro","Ademollo, Alessandro",4
"Category:Ade, George","1","","http://imslp.org/wiki/Category:Ade,_George","Ade, George",149874
